PRICECHANGE,value,total_points,transfers_balance ,selected,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,opponent_team
0,55,0,0,226601,0,0,24,0,0,0,0,0,0,0,1,0,0,0,5,0,48,0,2,0,0,0,1,1,0,0,0,25,24,0,0,0,0,1,0,4,0,8,9
0,55,3,33475,214978,5514,38989,72,0,0,1,0,0,0,0,0,0,0,0,9,90,151,10,25,0,0,0,3,9,1,0,0,73,58,0,0,0,1,1,1,1,0,13,8
-1,54,2,18120,204410,8586,26706,90,0,0,0,1,0,0,0,0,0,0,0,12,118,182,0,30,0,0,0,6,5,1,0,0,71,62,0,0,1,0,1,0,0,1,28,18
0,54,0,20560,189709,8906,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,90,0,0,50997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,90,1,7632,47277,1969,9601,13,0,0,0,0,0,0,0,0,0,0,0,3,2,15,40,6,0,0,0,0,2,0,0,0,6,5,0,0,0,0,0,0,0,0,13,8
0,90,0,1179,49090,6637,7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,90,4,13227,64944,23172,9945,29,0,1,0,0,0,0,0,0,0,0,0,8,20,113,160,29,0,0,0,1,2,1,1,0,4,3,0,1,0,0,1,2,1,0,31,13
0,75,0,0,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,75,0,565,2978,165,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
0,75,0,460,2881,112,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
-1,74,0,274,2937,111,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,50,0,0,7349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,1047,7643,376,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
-1,49,0,1277,6963,322,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
